customer_id,first_purchase_date,last_purchase_date,total_orders,total_spent,average_order_value,customer_age,customer_segment,preferred_category,payment_method
CUST_027,2024-05-30,2025-04-08,15,4536.75,302.45,18.0,Bronze,Electronics,Card
CUST_028,2024-01-18,2024-03-04,22,1188.22,54.01,33.0,Silver,Beauty,Card
CUST_029,2024-05-18,2024-08-23,37,10973.46,296.58,33.0,Silver,Beauty,Card
CUST_030,2024-01-25,2024-04-13,28,5321.68,190.06,44.0,Silver,Electronics,Online
CUST_031,2024-06-16,2025-06-11,7,343.63,,64.0,Silver,Electronics,Card
CUST_032,2024-02-19,2024-06-25,35,8236.55,235.33,45.0,Bronze,Home,Cash
CUST_033,2024-03-04,2024-05-11,29,11827.65,407.85,53.0,Bronze,Electronics,Online
CUST_034,2024-05-18,2024-06-24,6,2787.96,464.66,,Bronze,Beauty,Cash
CUST_035,2024-05-03,2024-09-19,26,11782.42,453.17,28.0,Silver,Electronics,Cash
CUST_036,2024-03-08,2024-11-25,19,4237.76,223.04,64.0,Gold,Beauty,Card
CUST_037,2024-02-18,2024-08-17,14,6789.72,484.98,55.0,Gold,Sports,Card
CUST_038,2024-07-10,2025-01-16,4,176.28,44.07,48.0,Gold,Sports,Card
CUST_039,2024-01-15,2024-10-31,6,2571.84,428.64,22.0,Gold,Electronics,Online
CUST_040,2024-08-08,2025-01-05,26,2016.3,77.55,54.0,Bronze,Sports,Online
CUST_041,2024-01-11,2024-12-23,6,1327.38,221.23,55.0,Gold,Sports,Cash
CUST_042,2024-08-27,2025-02-06,14,4780.58,341.47,38.0,Bronze,Home,Cash
CUST_043,2024-02-03,2025-01-28,20,4789.4,239.47,22.0,Bronze,Beauty,Online
CUST_044,2024-05-24,2024-08-13,5,1390.3,278.06,50.0,Silver,Fashion,Cash
CUST_045,2024-08-13,2024-10-17,16,3157.92,197.37,28.0,Silver,Sports,Online
CUST_046,2024-03-18,2025-02-24,34,807.84,23.76,53.0,Silver,Electronics,Card
CUST_047,2024-03-08,2024-06-05,7,2634.52,376.36,27.0,Silver,Home,Online
CUST_048,2024-02-23,2024-09-15,14,4900.0,350.0,34.0,Gold,Beauty,Cash
CUST_049,2024-08-19,2024-10-14,6,1946.76,324.46,35.0,Bronze,Electronics,Cash
CUST_050,2024-07-16,2024-10-20,17,1658.52,97.56,46.0,Gold,Beauty,Online
CUST_051,2024-01-03,2024-03-30,5,2368.1,473.62,62.0,Bronze,Sports,Card
CUST_052,2024-08-01,2025-03-08,38,10837.98,285.21,45.0,Bronze,Electronics,Cash
CUST_053,2024-04-03,2024-05-23,23,2779.32,120.84,33.0,Gold,Electronics,Cash
CUST_054,2024-07-18,2025-05-30,27,13160.88,487.44,65.0,Bronze,Fashion,Card
CUST_055,2024-09-06,2025-01-04,27,861.3,31.9,65.0,Silver,Beauty,Online
CUST_056,2024-08-09,2025-01-13,18,1735.38,96.41,62.0,Bronze,Beauty,Card
CUST_057,2024-08-07,2025-05-04,15,1736.85,115.79,47.0,Silver,Home,Card
CUST_058,2024-02-27,2024-04-09,13,2746.38,211.26,35.0,Bronze,Home,Cash
CUST_059,2024-06-13,2025-03-30,26,9000.42,346.17,52.0,Silver,Electronics,Card
CUST_060,2024-08-12,2025-01-22,12,3584.16,298.68,34.0,Bronze,Electronics,Online
CUST_061,2024-04-21,2024-11-13,21,4818.87,229.47,50.0,Bronze,Beauty,Online
CUST_062,2024-02-18,2024-07-27,3,1080.66,360.22,18.0,Gold,Sports,Online
CUST_063,2024-07-03,2024-11-10,24,5448.48,227.02,60.0,Silver,Sports,Cash
CUST_064,2024-06-18,2024-09-19,20,5268.4,263.42,60.0,Silver,Home,Cash
CUST_065,2024-06-27,2024-12-25,36,2919.6,81.1,44.0,Gold,Beauty,Online
CUST_066,2024-07-10,2024-11-06,40,11726.8,293.17,43.0,Gold,Electronics,Cash
CUST_067,2024-03-14,2024-07-29,28,11120.48,397.16,56.0,Gold,Home,Cash
CUST_068,2024-04-23,2025-01-04,14,3715.04,265.36,65.0,Bronze,Electronics,Cash
CUST_069,2024-05-11,2025-04-30,40,7235.6,180.89,33.0,Gold,Home,Card
CUST_070,2024-07-25,2024-12-03,10,317.2,31.72,33.0,Silver,Sports,Card
CUST_071,2024-04-26,2024-12-24,37,4193.21,113.33,62.0,Silver,Beauty,Cash
CUST_072,2024-03-03,2024-06-16,1,448.48,448.48,24.0,Silver,Fashion,Card
CUST_073,2024-07-24,2025-05-15,30,1323.0,44.1,33.0,Bronze,Beauty,Card
CUST_074,2024-07-24,2025-04-17,34,16802.46,494.19,56.0,Silver,Beauty,Online
CUST_075,2024-07-27,2025-05-11,28,11722.76,418.67,53.0,Silver,Fashion,Online
CUST_076,2024-08-08,2025-05-08,29,4187.89,144.41,33.0,Gold,Home,Online
CUST_077,2024-05-04,2025-04-19,16,2428.96,151.81,22.0,Gold,Home,Card
CUST_078,2024-03-10,2024-09-27,21,9421.65,448.65,23.0,Bronze,Fashion,Card
CUST_079,2024-04-08,2024-07-25,14,711.62,50.83,44.0,Silver,Sports,Cash
CUST_080,2024-04-16,2024-06-16,14,5877.06,419.79,42.0,Gold,Electronics,Online
CUST_081,2024-04-07,2025-01-06,1,472.52,472.52,37.0,Silver,Beauty,Online
CUST_082,2024-07-10,2025-05-15,39,17587.05,450.95,49.0,Bronze,Home,Cash
CUST_083,2024-05-04,2024-06-17,25,4533.5,181.34,61.0,Silver,Fashion,Cash
CUST_084,2024-08-23,2024-11-26,40,11055.2,276.38,43.0,Gold,Sports,Online
CUST_085,2024-01-07,2024-03-19,28,2383.92,85.14,47.0,Bronze,Electronics,Cash
CUST_086,2024-04-07,2024-10-21,14,3335.64,238.26,39.0,Silver,Home,Cash
CUST_087,2024-03-05,2024-05-15,31,908.3,29.3,52.0,Bronze,Home,Card
CUST_088,2024-06-15,2024-08-19,3,1146.09,382.03,33.0,Bronze,Electronics,Online
CUST_089,2024-02-09,2024-07-10,9,2225.79,247.31,25.0,Gold,Fashion,Cash
CUST_090,2024-06-28,2024-12-06,24,2412.96,100.54,56.0,Gold,Electronics,Card
CUST_091,2024-09-03,2025-03-11,7,2084.39,297.77,37.0,Gold,Beauty,Cash
CUST_092,2024-08-29,2025-01-07,5,1521.05,304.21,58.0,Bronze,Electronics,Online
CUST_093,2024-07-16,2025-01-16,39,15859.35,406.65,54.0,Bronze,Home,Online
CUST_094,2024-04-19,2024-11-24,5,1314.3,262.86,39.0,Bronze,Beauty,Cash
CUST_095,2024-01-28,2024-10-05,24,7801.92,325.08,47.0,Gold,Fashion,Cash
CUST_096,2024-02-15,2024-12-08,18,5681.52,,52.0,Silver,Beauty,Cash
CUST_097,2024-07-30,2025-06-28,18,3144.78,174.71,33.0,Bronze,Home,Cash
CUST_098,2024-03-03,2024-11-25,37,11579.52,312.96,42.0,Silver,Electronics,Cash
CUST_099,2024-08-05,2025-02-17,12,3048.24,254.02,40.0,Silver,Home,Cash
CUST_100,2024-08-13,2025-07-14,18,5162.04,286.78,51.0,Bronze,Electronics,Card
CUST_101,2024-07-03,2025-02-26,32,9167.36,286.48,33.0,Gold,Beauty,Online
CUST_102,2024-07-01,2025-04-08,29,11617.69,400.61,23.0,Silver,Fashion,Cash
CUST_103,2024-06-26,2024-11-27,20,6774.0,338.7,,Silver,Sports,Online
CUST_104,2024-03-29,2024-12-01,36,6436.08,178.78,62.0,Silver,Home,Cash
CUST_105,2024-03-05,2024-07-31,8,2929.76,366.22,38.0,Bronze,Sports,Online
CUST_106,2024-02-17,2024-06-24,14,5243.42,374.53,35.0,Gold,Sports,Online
CUST_107,2024-06-01,2024-11-22,7,2937.62,419.66,36.0,Bronze,Home,Card
CUST_108,2024-03-18,2024-04-24,35,2826.6,80.76,20.0,Bronze,Sports,Cash
CUST_109,2024-06-27,2024-09-29,32,2215.68,69.24,18.0,Gold,Home,Cash
CUST_110,2024-05-02,2025-01-12,22,2386.78,108.49,21.0,Silver,Beauty,Card
CUST_111,2024-07-29,2024-09-30,26,6657.04,256.04,54.0,Gold,Electronics,Card
CUST_112,2024-02-08,2024-12-22,20,1217.8,60.89,33.0,Bronze,Sports,Cash
CUST_113,2024-06-04,2025-05-05,40,5133.2,128.33,51.0,Silver,Beauty,Cash
CUST_114,2024-03-17,2025-02-11,28,4664.24,166.58,57.0,Bronze,Sports,Online
CUST_115,2024-01-26,2024-06-10,14,2058.42,147.03,23.0,Bronze,Fashion,Card
CUST_116,2024-05-21,2024-07-28,11,234.08,21.28,46.0,Gold,Sports,Cash
CUST_117,2024-03-15,2024-04-30,15,2374.35,158.29,36.0,Gold,Beauty,Card
CUST_118,2024-06-24,2024-11-20,17,6768.72,398.16,58.0,Gold,Fashion,Cash
CUST_119,2024-01-30,2024-12-03,15,4962.9,330.86,35.0,Bronze,Electronics,Card
CUST_120,2024-02-12,2024-08-17,39,14800.5,379.5,54.0,Silver,Beauty,Card
CUST_121,2024-04-29,2024-10-31,26,12284.48,472.48,50.0,Gold,Beauty,Cash
CUST_122,2024-01-21,2024-12-22,3,1340.76,446.92,,Silver,Sports,Cash
CUST_123,2024-01-07,2024-03-23,15,7225.8,481.72,54.0,Gold,Electronics,Online
CUST_124,2024-07-29,2025-01-12,37,1454.47,39.31,29.0,Silver,Sports,Online
CUST_125,2024-04-23,2024-10-12,12,5982.36,498.53,45.0,Gold,Beauty,Card
CUST_126,2024-04-30,2024-11-24,27,4859.73,179.99,60.0,Bronze,Fashion,Cash
CUST_127,2024-04-15,2025-01-23,19,6422.76,338.04,43.0,Gold,Electronics,Cash
CUST_128,2024-01-23,2024-08-01,17,2977.89,175.17,43.0,Gold,Electronics,Online
CUST_129,2024-08-10,2025-06-13,30,6550.8,,30.0,Gold,Home,Online
CUST_130,2024-07-12,2025-04-23,29,11159.2,384.8,31.0,Silver,Sports,Card
CUST_131,2024-08-25,2025-02-18,29,12841.49,442.81,49.0,Bronze,Electronics,Online
CUST_132,2024-06-04,2024-11-03,11,1860.76,169.16,18.0,Gold,Beauty,Card
CUST_133,2024-02-27,2024-05-25,30,14237.7,474.59,59.0,Bronze,Beauty,Online
CUST_134,2024-03-15,2024-12-30,18,3949.92,219.44,48.0,Silver,Fashion,Cash
CUST_135,2024-05-21,2024-09-02,25,2787.25,111.49,56.0,Gold,Fashion,Card
CUST_136,2024-03-11,2024-11-08,22,10305.68,468.44,50.0,Silver,Electronics,Cash
CUST_137,2024-07-04,2025-01-02,38,11337.68,298.36,60.0,Silver,Fashion,Cash
CUST_138,2024-05-17,2025-02-18,23,4130.11,179.57,52.0,Silver,Beauty,Cash
CUST_139,2024-08-10,2024-12-14,16,4711.36,294.46,32.0,Silver,Electronics,Cash
CUST_140,2024-07-09,2025-04-07,25,5133.0,205.32,60.0,Gold,Fashion,Cash
CUST_141,2024-09-03,2024-10-21,9,2349.9,261.1,55.0,Silver,Electronics,Cash
CUST_142,2024-01-26,2024-11-20,30,821.1,27.37,27.0,Silver,Fashion,Card
CUST_143,2024-04-30,2024-10-12,22,7021.52,319.16,43.0,Gold,Electronics,Cash
CUST_144,2024-08-06,2025-06-05,25,11949.75,477.99,58.0,Gold,Beauty,Online
CUST_145,2024-01-10,2024-12-21,5,663.45,132.69,61.0,Silver,Fashion,Online
CUST_146,2024-01-24,2024-10-02,7,2694.86,384.98,63.0,Bronze,Beauty,Card
CUST_147,2024-06-26,2024-12-26,2,84.16,42.08,21.0,Silver,Home,Cash
CUST_148,2024-04-20,2024-08-02,16,4399.36,274.96,54.0,Gold,Fashion,Card
CUST_149,2024-02-14,2024-04-24,40,17520.0,438.0,57.0,Gold,Fashion,Cash
CUST_150,2024-08-21,2025-07-15,10,1314.5,131.45,58.0,Silver,Beauty,Cash
CUST_151,2024-06-19,2024-07-23,30,13577.4,452.58,61.0,Gold,Fashion,Card
CUST_152,2024-04-23,2024-11-15,38,6216.42,163.59,45.0,Gold,Home,Cash
CUST_153,2024-08-04,2025-02-04,13,6496.1,499.7,48.0,Bronze,Fashion,Cash
CUST_154,2024-05-26,2024-12-25,37,5994.74,162.02,62.0,Silver,Electronics,Online
CUST_155,2024-04-11,2024-09-28,1,291.65,291.65,61.0,Gold,Electronics,Online
CUST_156,2024-07-09,2025-04-19,19,7454.84,392.36,32.0,Gold,Home,Card
CUST_157,2024-06-11,2024-10-16,40,5612.0,140.3,64.0,Gold,Fashion,Online
CUST_158,2024-01-25,2025-01-10,3,504.87,168.29,46.0,Bronze,Sports,Cash
CUST_159,2024-07-06,2024-10-11,6,2739.72,,38.0,Gold,Beauty,Card
CUST_160,2024-02-21,2024-05-28,35,15424.5,440.7,41.0,Gold,Sports,Cash
CUST_161,2024-07-31,2024-11-22,17,7798.58,458.74,48.0,Silver,Home,Card
CUST_162,2024-04-29,2024-07-06,10,3819.9,381.99,32.0,Gold,Beauty,Online
CUST_163,2024-04-03,2024-06-18,26,693.68,26.68,52.0,Bronze,Beauty,Cash
CUST_164,2024-06-21,2024-12-02,38,7709.82,202.89,58.0,Silver,Electronics,Online
CUST_165,2024-02-29,2024-11-26,2,634.76,317.38,53.0,Silver,Sports,Card
CUST_166,2024-06-14,2024-08-15,30,13695.3,456.51,37.0,Gold,Beauty,Card
CUST_167,2024-02-05,2024-03-29,3,498.3,166.1,49.0,Bronze,Electronics,Card
CUST_168,2024-08-15,2025-06-16,9,1858.95,206.55,41.0,Gold,Sports,Cash
CUST_169,2024-05-30,2024-09-16,27,9027.72,334.36,49.0,Gold,Beauty,Cash
CUST_170,2024-01-09,2024-08-15,14,3259.48,232.82,33.0,Silver,Electronics,Online
CUST_171,2024-04-04,2025-02-06,23,1128.38,49.06,35.0,Bronze,Electronics,Cash
CUST_172,2024-01-24,2024-06-10,39,18958.68,486.12,21.0,Silver,Fashion,Card
CUST_173,2024-07-20,2025-06-04,14,741.02,52.93,53.0,Bronze,Sports,Card
CUST_174,2024-07-27,2024-12-23,22,8617.4,391.7,56.0,Bronze,Home,Card
CUST_175,2024-02-03,2024-12-05,17,6855.93,403.29,25.0,Gold,Electronics,Card
CUST_176,2024-01-04,2024-08-04,16,4842.4,302.65,19.0,Bronze,Home,Card
CUST_177,2024-02-02,2024-10-04,34,2534.7,74.55,,Silver,Beauty,Cash
CUST_178,2024-05-11,2025-04-09,7,1658.72,236.96,32.0,Gold,Electronics,Online
CUST_179,2024-07-19,2025-05-11,20,4797.2,239.86,19.0,Bronze,Beauty,Cash
CUST_180,2024-04-19,2024-07-13,32,11582.4,361.95,46.0,Bronze,Electronics,Cash
CUST_181,2024-06-04,2024-09-17,5,402.85,80.57,,Gold,Sports,Online
CUST_182,2024-07-01,2025-01-13,25,12435.5,497.42,51.0,Silver,Beauty,Online
CUST_183,2024-06-03,2025-02-08,7,2804.83,400.69,25.0,Gold,Sports,Online
CUST_184,2024-08-09,2024-12-27,28,6629.0,236.75,32.0,Silver,Home,Cash
CUST_185,2024-04-12,2024-12-10,7,1190.14,170.02,38.0,Gold,Home,Cash
CUST_186,2024-09-01,2024-12-18,31,1618.82,52.22,23.0,Bronze,Beauty,Card
CUST_187,2024-07-09,2025-02-14,9,2583.54,287.06,55.0,Gold,Sports,Cash
CUST_188,2024-06-20,2024-09-20,27,5122.71,189.73,60.0,Silver,Electronics,Cash
CUST_189,2024-06-02,2024-12-08,23,1603.79,69.73,50.0,Bronze,Fashion,Online
CUST_190,2024-05-03,2024-09-24,7,1316.35,188.05,53.0,Silver,Electronics,Cash
CUST_191,2024-05-26,2024-10-18,28,11918.76,425.67,57.0,Gold,Sports,Card
CUST_192,2024-06-04,2024-11-17,2,213.2,106.6,62.0,Silver,Home,Cash
CUST_193,2024-01-02,2024-05-03,10,2918.3,291.83,43.0,Bronze,Fashion,Online
CUST_194,2024-06-11,2024-07-26,6,2268.78,378.13,31.0,Silver,Beauty,Cash
CUST_195,2024-03-28,2024-07-16,24,4070.16,169.59,38.0,Gold,Sports,Card
CUST_196,2024-08-14,2024-10-09,10,955.6,95.56,57.0,Bronze,Electronics,Cash
CUST_197,2024-04-23,2024-12-26,32,9964.8,311.4,44.0,Silver,Fashion,Online
CUST_198,2024-01-30,2024-08-23,28,2050.44,73.23,61.0,Gold,Sports,Cash
CUST_199,2024-05-14,2024-11-17,3,377.55,125.85,56.0,Bronze,Electronics,Card
CUST_200,2024-03-18,2024-08-03,9,3481.2,386.8,36.0,Silver,Electronics,Card
